AIRFOIL
  1.0000000  0.0000000
  0.9989300  0.0008200
  0.9957200  0.0024900
  0.9903900  0.0050100
  0.9829600  0.0081800
  0.9734700  0.0118900
  0.9619400  0.0160100
  0.9484400  0.0204300
  0.9330100  0.0251600
  0.9157300  0.0301800
  0.8966800  0.0355300
  0.8759200  0.0411400
  0.8535500  0.0471100
  0.8296700  0.0532300
  0.8043800  0.0596200
  0.7777900  0.0660500
  0.7500000  0.0727300
  0.7211400  0.0792700
  0.6913400  0.0859000
  0.6607200  0.0920400
  0.6294100  0.0980400
  0.5975500  0.1033100
  0.5652600  0.1082300
  0.5327000  0.1122100
  0.5000000  0.1157800
  0.4673000  0.1183300
  0.4347400  0.1204200
  0.4024500  0.1213700
  0.3705900  0.1219100
  0.3392800  0.1212800
  0.3086600  0.1202400
  0.2788600  0.1179200
  0.2500000  0.1152200
  0.2222100  0.1112200
  0.1956200  0.1070400
  0.1703300  0.1016500
  0.1464500  0.0962200
  0.1240800  0.0896100
  0.1033200  0.0831300
  0.0842700  0.0755500
  0.0669900  0.0683600
  0.0515600  0.0600500
  0.0380600  0.0524800
  0.0265300  0.0448000
  0.0170400  0.0362500
  0.0096100  0.0274000
  0.0042800  0.0175000
  0.0010700  0.0090000
  0.0000000  0.0000000
  0.0010700  -0.0023200
  0.0042800  -0.0056600
  0.0096100  -0.0099500
  0.0170400  -0.0125400
  0.0265300  -0.0153700
  0.0380600  -0.0169800
  0.0515600  -0.0188700
  0.0669900  -0.0199200
  0.0842700  -0.0212200
  0.1033200  -0.0218000
  0.1240800  -0.0225600
  0.1464500  -0.0226300
  0.1703300  -0.0227700
  0.1956200  -0.0222000
  0.2222100  -0.0216100
  0.2500000  -0.0203400
  0.2788600  -0.0189500
  0.3086600  -0.0168800
  0.3392800  -0.0146000
  0.3705900  -0.0116700
  0.4024500  -0.0084800
  0.4347400  -0.0048600
  0.4673000  -0.0010300
  0.5000000  0.0030700
  0.5327000  0.0071600
  0.5652600  0.0111200
  0.5975500  0.0147500
  0.6294100  0.0181300
  0.6607200  0.0209800
  0.6913400  0.0234500
  0.7211400  0.0253000
  0.7500000  0.0266800
  0.7777900  0.0274500
  0.8043800  0.0276800
  0.8296700  0.0272900
  0.8535500  0.0263100
  0.8759200  0.0247900
  0.8966800  0.0228400
  0.9157300  0.0205200
  0.9330100  0.0179400
  0.9484400  0.0151400
  0.9619400  0.0121900
  0.9734700  0.0092100
  0.9829600  0.0063000
  0.9903900  0.0037300
  0.9957200  0.0016900
  0.9989300  0.0004000
  1.0000000  0.0000000
